NAME,DINING TIME,RATING,REVIEW
Edson,"Dined on May 31, 2024",5,"Fun and eclectic menu with a wide variety of dinner options, along with an extensive drink menu. Wine list is limited but still offers a few good options.  Our waiter was amazing and our group of 6 adults had a great time. Thank you!!!"
OpenTable Diner,"Dined on May 20, 2024",5,The restaurant is amazing. The food is fantastic! Drinks are incredible! And service is phenomenal. I am NEVER disappointed with The Brooklyn Chop House.
OpenTable Diner,"Dined on May 19, 2024",5,Always a pleasure with great company and Amazing food.
OpenTable Diner,"Dined on May 15, 2024",5,"Highly recommend this place, staff and everything was absolutely amazing!"
shanntab,"Dined on May 15, 2024",5,I enjoy brining my accounts here . We order the lad
PamelaF,"Dined on May 13, 2024",5,Chop House never fails to amazing food and service.
OpenTable Diner,"Dined on May 13, 2024",3,"My brother took me and my mom for Mother’s Day. It wasn’t my first time here, I’ve been here 3 times before Mother’s Day. However, The food was rushed on this day my brother took us. Maybe it’s because there was a lot of people there and they was probably ordering the same thing but the food did not taste like it was made with full love could’ve been cooked a little longer and added a little more sauce in everything that was severed. But the staff was super friendly and made you feel comfortable I can say that. But overall I can say they could’ve did better because I’ve tasted better from them."
OpenTable Diner,"Dined on May 13, 2024",5,"I recently took my wife here for Mother's Day and I must say everything we ordered was good. We had our 1yr old with us and had a bit of a task trying to find something. The Chicken Lo Mein was excellent and perfect for the baby. Overall we had a pleasant and seamless experience. We had 2 drinks( passion fruit frozen, margarita), 3 Sides (Garlic Mash, Broccoli, chicken Lo mein) 2 steaks (hanger, NY strip) and the price was very reasonable for the quality of service and food selection. Definitely made My wife's Mother's Day special."
PATRICIAT,"Dined on May 13, 2024",5,One of my favorite restaurants and I frequently recommend to my clients.
DaniLotus05,"Dined on May 13, 2024",5,Always a great time at Brooklyn Chop House. Food is always fresh and delicious.
OpenTable Diner,"Dined on May 13, 2024",4,Very good for Mother’s Day.   Definitely a must try for another time
OpenTable Diner,"Dined on May 13, 2024",5,"After several visits to this restaurant, the service and food is consistent. The food and service is excellent, it’s a true fine dining experience."
AndresD,"Dined on May 12, 2024",4,"The experience was a great one especially for the moms that were there to celebrate Mother’s Day. The prices are a bit high for certain items on the menu, but overall the staff were great the food was great and the pleasantry of the staff was even better! The staff truly stood out because they were very attentive and accommodating. Outside of the prices on some of the menu items, I’d definitely go back."
OpenTable Diner,"Dined on May 12, 2024",5,"AMAZING time, Food was top notch, great place to celebrate!!!! Great for big groups. Pricey but worth every penny. Shared plates way to go. Sides for two!!!!"
OpenTable Diner,"Dined on May 12, 2024",4,"Definitely weird to play “Superman” by Eminem on Mother’s Day, food and service were great though"
PamelaF,"Dined on May 11, 2024",5,Everything was fabulous as usual. We always dine here when in NYC.
OpenTable Diner,"Dined on May 11, 2024",5,Great experience Food was delicious. Will definitely be back. Service was 10 out of 10.
OpenTable Diner,"Dined on May 10, 2024",5,"Beyond amazing service, and food was impeccable. Was so glad we picked it and will definitely go again!"
OpenTable Diner,"Dined on May 6, 2024",5,The red velvet cake! Oh my gosh.  The sweet and sour chicken was great. Wonderful portion sizes. Great drinks! Can’t wait to return
MoniqueC,"Dined on May 6, 2024",5,"No mater how many times I go here, it never disappoints. A time was had. Food amazing. Service amazing. Drinks amazing. Never disappointed or underwhelmed. It is truly an impeccable experience every time I go."
OpenTable Diner,"Dined on May 5, 2024",5,Server and food were amazing! Great music and lighting perfect place to have a date night wide variety of options. Porter house was cooked to perfection and the lamb gyro dumplings were probably my favorite
DeeH,"Dined on April 28, 2024",5,"Absolutely amazing, perfect for a date night. The food is amazing and fresh. The ambience is nice and romantic. Frozen strawberry/watermelon drink is my absolute favorite! Also the shrimp fried rice is absolutely amazing!! The staff is very attentive."
OpenTable Diner,"Dined on April 27, 2024",5,Amazing experience with my daughter and friends!!  The best service I have had in New York!!  Brooklyn Chop House was recommended by a friend and did not disappoint!!!  I will return on my next NY visit !
Jack,"Dined on April 21, 2024",3,"I was taken aback by the seating arrangement. Placing 2 seater tables in the middle of the restaurant was uncomfortable. There’s people walking back and forth while you’re eating. Coats, bags, people brushing against you as you dine. (Yuck) and we were told we could not move because these seats were designated to “2ppl” . To get to the restroom I was told to walk straight back and make right- SHOCKED I walked into a private party dining…. *shocked and confused face* one of the gents may have seen my face confused face and said “yep, you’re walking the right way” . Overall food was mid"
ChristinaG,"Dined on April 21, 2024",5,Amazing!  Food was delicious too much to choose from.  Can’t wait to go back!! Staff were great!  This place is a MUST!
RosaC,"Dined on April 20, 2024",5,I loved everything about this place service was excellent food amazing everyone greeted us and wished us a happy anniversary it was amazing must try the lychee martini
ChrisA,"Dined on April 19, 2024",5,"Our rice was cold when we got it, drinks was good"
quyasiaJ,"Dined on April 17, 2024",5,The best fried rice ive ever had! Inalso recommend the Rock shrimp.tempura
Sweets,"Dined on April 16, 2024",5,Definitely will come again. The vibe and service was great. And the food was amazing.
NicholasP,"Dined on April 15, 2024",5,Very tasty food. Chef always on point. Will recommend
TiffanyW,"Dined on April 14, 2024",5,"Amazing experience I love it there everything was top tier loved my waiter Alex, definitely will be returning"
OpenTable Diner,"Dined on April 13, 2024",5,It was overall a great experience and loved the music.
AngelC,"Dined on April 13, 2024",5,"Great vibe, ambiance and food. The frozen drinks are a must!"
JulesO,"Dined on April 13, 2024",5,Great food and service! I would highly recommend.
CarlaM,"Dined on April 8, 2024",5,Great food. Great drinks. Great atmosphere! Great Service.
ROSED,"Dined on April 6, 2024",4,The steak was cooked and seasoned to perfection and arrived searing on a small cast iron skillet. Delicious!
OpenTable Diner,"Dined on April 6, 2024",5,Our waiter was extremely knowledgeable and friendly
Yvie,"Dined on March 31, 2024",5,Excellent food and service. The atmosphere is totally a vibe. Great place for a night out with friends or a fun date. Will certainly return again.
OpenTable Diner,"Dined on March 24, 2024",5,"amzizng food and service. great ambiance, i recommend for a group dinner. Amazing steak and dumplings"
OpenTable Diner,"Dined on March 24, 2024",5,Amazing food and music! Great for a date night
OpenTable Diner,"Dined on March 24, 2024",5,Music and Food were great. Lot of variety. Steak and lamb chops are bomb.
DeeH,"Dined on March 24, 2024",5,"Perfect place for a date. The food is absolutely amazing and fresh! The ambiance is very relaxing. The strawberry watermelon frozen drink  is very, very good."
OpenTable Diner,"Dined on March 23, 2024",5,The service was top notch our waiter was amazing and the food was superb my wife enjoyed her birthday dinner.
AnthonyK,"Dined on March 18, 2024",5,Service was great food was amazing thank u so much for your hospitality
Sherilola,"Dined on March 16, 2024",3,I took a friend here for their birthday and we did not enjoy our expensive meal. That's very disappointing.
OpenTable Diner,"Dined on March 13, 2024",5,One of the most unique steakhouses in NY with delicious food. Dumplings were amazing appetizer!!
OpenTable Diner,"Dined on March 10, 2024",5,"This is my first time at Brooklyn Chop House . The ambience was beautiful. Felt like I had been to this place before. The food was amazing from the hanger steak to the sides. Everything was just wonderful and flavorful￼. The staff, hands-down was some of the nicest people that we have met they were really great on recommendations on what to get to eat  . If you ever go to NYC, I highly recommend this place a 10 out of 10 for me."
